# t D_xx D_yy D_zz
2.032800000000000000e+04 4.277102893680613648e-09 5.550494171256004789e-10 1.736545488210058429e-09
2.033200000000000000e+04 4.272261904445689725e-09 5.559332174574391527e-10 1.732876535214376148e-09
2.033600000000000000e+04 4.261219835339549456e-09 5.638014654090415043e-10 1.732603519227456072e-09
2.034000000000000000e+04 4.248905985893338275e-09 5.766752095464954181e-10 1.736553734369046023e-09
2.034400000000000000e+04 4.241959446008823281e-09 5.886110446111551113e-10 1.742486288741602755e-09
2.034800000000000000e+04 4.245115541518547168e-09 5.928977628065862223e-10 1.746935268016391515e-09
2.035200000000000000e+04 4.257924360758973470e-09 5.861866113097282248e-10 1.747526265727484743e-09
2.035600000000000000e+04 4.274650444062244919e-09 5.702585055395201923e-10 1.744211603421125140e-09
2.036000000000000000e+04 4.287379727053205848e-09 5.509556023704533130e-10 1.739250373127279928e-09
2.036400000000000000e+04 4.290406758791512612e-09 5.355475910725770727e-10 1.736078598288448577e-09
2.036800000000000000e+04 4.283512666504259799e-09 5.295176087508457615e-10 1.737269561702103240e-09
2.037200000000000000e+04 4.272204813039522222e-09 5.340738716009895369e-10 1.742598327668452648e-09
2.037600000000000000e+04 4.264668560047640345e-09 5.459260904352311609e-10 1.748623399283223550e-09
2.038000000000000000e+04 4.267137383020651552e-09 5.594464347030158015e-10 1.750450480670386829e-09
2.038400000000000000e+04 4.279945424506564100e-09 5.697191463195803342e-10 1.745039660641827779e-09
2.038800000000000000e+04 4.296164765131441697e-09 5.745980285455945647e-10 1.734024306896218106e-09
2.039200000000000000e+04 4.304715850288809201e-09 5.746413744588673528e-10 1.723610296260994634e-09
2.039600000000000000e+04 4.297801965962117089e-09 5.713767370672479927e-10 1.720883888963109783e-09
2.040000000000000000e+04 4.277731091797482464e-09 5.657799849602270053e-10 1.728870029186152687e-09
2.040400000000000000e+04 4.256740606744975999e-09 5.583151647404680097e-10 1.743869843809506493e-09
2.040800000000000000e+04 4.248936035240957949e-09 5.498563049412521672e-10 1.756784737405242808e-09
2.041200000000000000e+04 4.260476946400981424e-09 5.421516444346584695e-10 1.758217354043936023e-09
2.041600000000000000e+04 4.285428325364814402e-09 5.375246682728379273e-10 1.745079750141812319e-09
2.042000000000000000e+04 4.309798739209268189e-09 5.381044655215824259e-10 1.723663496437041624e-09
